,amount,base_currency_code,base_currency_name,rates
GGP,1.0000,EUR,Euro,"{'currency_name': 'Guernsey Pound', 'rate': '0.9076', 'rate_for_amount': '0.9076'}"
GHS,1.0000,EUR,Euro,"{'currency_name': 'Ghana Cedi', 'rate': '6.9159', 'rate_for_amount': '6.9159'}"
GIP,1.0000,EUR,Euro,"{'currency_name': 'Gibraltar Pound', 'rate': '0.9076', 'rate_for_amount': '0.9076'}"
GMD,1.0000,EUR,Euro,"{'currency_name': 'Dalasi', 'rate': '62.2339', 'rate_for_amount': '62.2339'}"
GNF,1.0000,EUR,Euro,"{'currency_name': 'Guinean Franc', 'rate': '11657.0137', 'rate_for_amount': '11657.0137'}"
GTQ,1.0000,EUR,Euro,"{'currency_name': 'Quetzal', 'rate': '9.2449', 'rate_for_amount': '9.2449'}"
GYD,1.0000,EUR,Euro,"{'currency_name': 'Guyana Dollar', 'rate': '248.5719', 'rate_for_amount': '248.5719'}"
HKD,1.0000,EUR,Euro,"{'currency_name': 'Hong Kong Dollar', 'rate': '9.1598', 'rate_for_amount': '9.1598'}"
HNL,1.0000,EUR,Euro,"{'currency_name': 'Lempira', 'rate': '29.2353', 'rate_for_amount': '29.2353'}"
HRK,1.0000,EUR,Euro,"{'currency_name': 'Kuna', 'rate': '7.5777', 'rate_for_amount': '7.5777'}"
HTG,1.0000,EUR,Euro,"{'currency_name': 'Gourde', 'rate': '74.1981', 'rate_for_amount': '74.1981'}"
HUF,1.0000,EUR,Euro,"{'currency_name': 'Forint', 'rate': '365.2912', 'rate_for_amount': '365.2912'}"
IDR,1.0000,EUR,Euro,"{'currency_name': 'Rupiah', 'rate': '17284.5980', 'rate_for_amount': '17284.5980'}"
ILS,1.0000,EUR,Euro,"{'currency_name': 'New Israeli Sheqel', 'rate': '3.9982', 'rate_for_amount': '3.9982'}"
IMP,1.0000,EUR,Euro,"{'currency_name': 'Manx pound', 'rate': '0.9076', 'rate_for_amount': '0.9076'}"
INR,1.0000,EUR,Euro,"{'currency_name': 'Indian Rupee', 'rate': '87.5485', 'rate_for_amount': '87.5485'}"
IQD,1.0000,EUR,Euro,"{'currency_name': 'Iraqi Dinar', 'rate': '1418.4260', 'rate_for_amount': '1418.4260'}"
IRR,1.0000,EUR,Euro,"{'currency_name': 'Iranian Rial', 'rate': '49870.9855', 'rate_for_amount': '49870.9855'}"
ISK,1.0000,EUR,Euro,"{'currency_name': 'Iceland Krona', 'rate': '165.3978', 'rate_for_amount': '165.3978'}"
JEP,1.0000,EUR,Euro,"{'currency_name': 'Jersey Pound', 'rate': '0.9076', 'rate_for_amount': '0.9076'}"
JMD,1.0000,EUR,Euro,"{'currency_name': 'Jamaican Dollar', 'rate': '172.6640', 'rate_for_amount': '172.6640'}"
JOD,1.0000,EUR,Euro,"{'currency_name': 'Jordanian Dinar', 'rate': '0.8380', 'rate_for_amount': '0.8380'}"
JPY,1.0000,EUR,Euro,"{'currency_name': 'Yen', 'rate': '123.6625', 'rate_for_amount': '123.6625'}"
KES,1.0000,EUR,Euro,"{'currency_name': 'Kenyan Shilling', 'rate': '129.2781', 'rate_for_amount': '129.2781'}"
KGS,1.0000,EUR,Euro,"{'currency_name': 'Som', 'rate': '95.7149', 'rate_for_amount': '95.7149'}"
KHR,1.0000,EUR,Euro,"{'currency_name': 'Riel', 'rate': '4880.8325', 'rate_for_amount': '4880.8325'}"
KMF,1.0000,EUR,Euro,"{'currency_name': 'Comorian Franc', 'rate': '491.9678', 'rate_for_amount': '491.9678'}"
KPW,1.0000,EUR,Euro,"{'currency_name': 'North Korean Won', 'rate': '1340.9837', 'rate_for_amount': '1340.9837'}"
KRW,1.0000,EUR,Euro,"{'currency_name': 'Won', 'rate': '1331.3514', 'rate_for_amount': '1331.3514'}"
KWD,1.0000,EUR,Euro,"{'currency_name': 'Kuwaiti Dinar', 'rate': '0.3622', 'rate_for_amount': '0.3622'}"
KYD,1.0000,EUR,Euro,"{'currency_name': 'Cayman Islands Dollar', 'rate': '1.0079', 'rate_for_amount': '1.0079'}"
KZT,1.0000,EUR,Euro,"{'currency_name': 'Tenge', 'rate': '508.1264', 'rate_for_amount': '508.1264'}"
LAK,1.0000,EUR,Euro,"{'currency_name': 'Lao Kip', 'rate': '11014.0609', 'rate_for_amount': '11014.0609'}"
LBP,1.0000,EUR,Euro,"{'currency_name': 'Lebanese Pound', 'rate': '1781.7142', 'rate_for_amount': '1781.7142'}"
LKR,1.0000,EUR,Euro,"{'currency_name': 'Sri Lanka Rupee', 'rate': '219.1461', 'rate_for_amount': '219.1461'}"
LRD,1.0000,EUR,Euro,"{'currency_name': 'Liberian Dollar', 'rate': '229.6432', 'rate_for_amount': '229.6432'}"
LSL,1.0000,EUR,Euro,"{'currency_name': 'Loti', 'rate': '19.2080', 'rate_for_amount': '19.2080'}"
LYD,1.0000,EUR,Euro,"{'currency_name': 'Libyan Dinar', 'rate': '1.6238', 'rate_for_amount': '1.6238'}"
MAD,1.0000,EUR,Euro,"{'currency_name': 'Moroccan Dirham', 'rate': '10.8630', 'rate_for_amount': '10.8630'}"
MDL,1.0000,EUR,Euro,"{'currency_name': 'Moldovan Leu', 'rate': '20.1512', 'rate_for_amount': '20.1512'}"
MGA,1.0000,EUR,Euro,"{'currency_name': 'Malagasy Ariary', 'rate': '4681.8179', 'rate_for_amount': '4681.8179'}"
MKD,1.0000,EUR,Euro,"{'currency_name': 'Denar', 'rate': '61.7105', 'rate_for_amount': '61.7105'}"
MMK,1.0000,EUR,Euro,"{'currency_name': 'Kyat', 'rate': '1528.9652', 'rate_for_amount': '1528.9652'}"
MNT,1.0000,EUR,Euro,"{'currency_name': 'Tugrik', 'rate': '3382.0791', 'rate_for_amount': '3382.0791'}"
MOP,1.0000,EUR,Euro,"{'currency_name': 'Pataca', 'rate': '9.4346', 'rate_for_amount': '9.4346'}"
MRU,1.0000,EUR,Euro,"{'currency_name': 'Ouguiya', 'rate': '45.5641', 'rate_for_amount': '45.5641'}"
MUR,1.0000,EUR,Euro,"{'currency_name': 'Mauritius Rupee', 'rate': '47.3003', 'rate_for_amount': '47.3003'}"
MVR,1.0000,EUR,Euro,"{'currency_name': 'Rufiyaa', 'rate': '18.3715', 'rate_for_amount': '18.3715'}"
MWK,1.0000,EUR,Euro,"{'currency_name': 'Malawi Kwacha', 'rate': '897.0436', 'rate_for_amount': '897.0436'}"
MXN,1.0000,EUR,Euro,"{'currency_name': 'Mexican Peso', 'rate': '24.7505', 'rate_for_amount': '24.7505'}"
MYR,1.0000,EUR,Euro,"{'currency_name': 'Malaysian Ringgit', 'rate': '4.9237', 'rate_for_amount': '4.9237'}"
MZN,1.0000,EUR,Euro,"{'currency_name': 'Mozambique Metical', 'rate': '85.6877', 'rate_for_amount': '85.6877'}"
NAD,1.0000,EUR,Euro,"{'currency_name': 'Namibia Dollar', 'rate': '19.2080', 'rate_for_amount': '19.2080'}"
NGN,1.0000,EUR,Euro,"{'currency_name': 'Naira', 'rate': '452.8558', 'rate_for_amount': '452.8558'}"
NIO,1.0000,EUR,Euro,"{'currency_name': 'Cordoba Oro', 'rate': '41.4145', 'rate_for_amount': '41.4145'}"
NOK,1.0000,EUR,Euro,"{'currency_name': 'Norwegian Krone', 'rate': '10.8679', 'rate_for_amount': '10.8679'}"
NPR,1.0000,EUR,Euro,"{'currency_name': 'Nepalese Rupee', 'rate': '140.0776', 'rate_for_amount': '140.0776'}"
NZD,1.0000,EUR,Euro,"{'currency_name': 'New Zealand Dollar', 'rate': '1.7672', 'rate_for_amount': '1.7672'}"
OMR,1.0000,EUR,Euro,"{'currency_name': 'Rial Omani', 'rate': '0.4544', 'rate_for_amount': '0.4544'}"
PAB,1.0000,EUR,Euro,"{'currency_name': 'Balboa', 'rate': '1.1819', 'rate_for_amount': '1.1819'}"
PEN,1.0000,EUR,Euro,"{'currency_name': 'Sol', 'rate': '4.2752', 'rate_for_amount': '4.2752'}"
PGK,1.0000,EUR,Euro,"{'currency_name': 'Kina', 'rate': '4.1579', 'rate_for_amount': '4.1579'}"
PHP,1.0000,EUR,Euro,"{'currency_name': 'Philippine Peso', 'rate': '57.1963', 'rate_for_amount': '57.1963'}"
PKR,1.0000,EUR,Euro,"{'currency_name': 'Pakistan Rupee', 'rate': '192.9775', 'rate_for_amount': '192.9775'}"
PLN,1.0000,EUR,Euro,"{'currency_name': 'Zloty', 'rate': '4.5890', 'rate_for_amount': '4.5890'}"
PYG,1.0000,EUR,Euro,"{'currency_name': 'Guarani', 'rate': '8350.6607', 'rate_for_amount': '8350.6607'}"
QAR,1.0000,EUR,Euro,"{'currency_name': 'Qatari Rial', 'rate': '4.3021', 'rate_for_amount': '4.3021'}"
RON,1.0000,EUR,Euro,"{'currency_name': 'Romanian Leu', 'rate': '4.8774', 'rate_for_amount': '4.8774'}"
RSD,1.0000,EUR,Euro,"{'currency_name': 'Serbian Dinar', 'rate': '117.6418', 'rate_for_amount': '117.6418'}"
RUB,1.0000,EUR,Euro,"{'currency_name': 'Russian Ruble', 'rate': '90.5231', 'rate_for_amount': '90.5231'}"
RWF,1.0000,EUR,Euro,"{'currency_name': 'Rwanda Franc', 'rate': '1162.4559', 'rate_for_amount': '1162.4559'}"
